University,Weighted Grant Units,Canadian Students,Student Visa
Algoma University,"1,525",0,0
Brock University,"28,158",14417,1560
Carleton University,"53,273",21477,3399
Lakehead University,"15,487",5941,915
Laurentian University,"15,891",6321,496
McMaster University,"74,245",25904,3427
Nipissing University,"7,875",3131,23
OCADu,"6,687",2857,528
Queen's University,"60,785",20814,2310
Ryerson University,"79,515",27579,1631
Trent University,"14,848",7500,570
Université de Hearst,146.23,93,7
University of Guelph,"64,832",24780,1342
University of Ottawa,"85,301",28988,4856
University of Toronto,"199,074.17",60969,16654
University of Waterloo,"77,551",28302,7409
University of Windsor,"26,337",11042,2941
UOIT (OTU),"17,846",8625,617
Western University,"93,002",25753,3687
Wilfrid Laurier University,"32,967",15142,977
York University,"83,600",38554,6386
