University,SMA2 Y1-2 Retention Target,CUDO 2016 K3 Y1-2 Retention,Difference
Algoma University,69.0%,,69.0%
Brock University,89.5%,87.5%,2.0%
Carleton University,88.2%,88.9%,-0.7%
Lakehead University,83%,83.2%,-0.7%
Laurentian University,85.50%,85.1%,0.4%
McMaster University,90%,91.0%,-1.0%
Nipissing University,83%,84.5%,-1.5%
OCADu,89%,92.3%,-3.3%
Queen's University,94%,94.7%,-0.7%
Ryerson University,89.5%,88.4%,1.1%
Trent University,80%,83.5%,-3.5%
Université de Hearst,80%,,80.0%
University of Guelph,90%,90.9%,-0.9%
University of Ottawa,90%,87.2%,2.8%
University of Toronto,88%,91.7%,-3.5%
University of Waterloo,90%,93.9%,-3.9%
University of Windsor,85%,88.3%,-3.3%
UOIT (OTU),80.00%,81.1%,-1.1%
Western University,93%,93.2%,-0.2%
Wilfrid Laurier University,88%,88.0%,-0.3%
York University,88%,86.5%,1.5%
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
