University,MCU,University Copy,University Status,Updated
Algoma University,https://www.ontario.ca/page/2020-2025-strategic-mandate-agreement-algoma-university,https://www.algomau.ca/wp-content/uploads/2020/12/Signed-SMA3.pdf,Posted,"Sunday November 29, 2020"
Brock University,https://www.ontario.ca/page/2020-2025-strategic-mandate-agreement-brock-university,https://brocku.ca/vp-academic/wp-content/uploads/sites/65/Brock-University-SMA3-Agreement-August-31-2020-SIGNED-FINAL.pdf,Posted,"Sunday November 29, 2020"
Carleton University,https://www.ontario.ca/page/2020-2025-strategic-mandate-agreement-carleton-university,https://carleton.ca/president/cu-files/,Not Posted,"Sunday November 29, 2020"
Lakehead University,https://www.ontario.ca/page/2020-2025-strategic-mandate-agreement-lakehead-university,https://www.lakeheadu.ca/faculty-and-staff/departments/services/provost-vice-president-academic/strategic-mandate-agreement,Not Posted,"Sunday November 29, 2020"
Laurentian University,https://www.ontario.ca/page/2020-2025-strategic-mandate-agreement-laurentian-university,https://laurentian.ca/facts-figures,Not Posted,"Sunday November 29, 2020"
McMaster University,https://www.ontario.ca/page/2020-2025-strategic-mandate-agreement-mcmaster-university,https://ira.mcmaster.ca/app/uploads/2020/11/McMaster-SMA3-Agreement-August-31-2020-SIGNED-FINAL.pdf,Posted,"Sunday November 29, 2020"
Nipissing University,https://www.ontario.ca/page/2020-2025-strategic-mandate-agreement-nipissing-university,https://www.nipissingu.ca/departments/office-of-president/mandate-agreement,Not Posted,"Sunday November 29, 2020"
OCADu,https://www.ontario.ca/page/2020-2025-strategic-mandate-agreement-ontario-college-arts-and-design-ocad-university,https://www.ocadu.ca/sites/default/files/assets/files/OCAD%20University%20Strategic%20Mandate%20Agreement%2C%202020-2025.pdf,Posted,"Sunday November 29, 2020"
OTU (UOIT),https://www.ontario.ca/page/2020-2025-strategic-mandate-agreement-ontario-tech-university,https://shared.ontariotechu.ca/shared/department/opp/Governance/Office-of-the-Provost/sma--2020-2025.pdf,Posted,"Sunday November 29, 2020"
Queen's University,https://www.ontario.ca/page/2020-2025-strategic-mandate-agreement-queens-university,https://www.queensu.ca/strategicplanning/mandate,Not Posted,"Sunday November 29, 2020"
Ryerson University,https://www.ontario.ca/page/2020-2025-strategic-mandate-agreement-ryerson-university,https://www.ryerson.ca/provost/strategic-plans/strategic-mandate-agreement/,Not Posted,"Sunday November 29, 2020"
Trent University,https://www.ontario.ca/page/2020-2025-strategic-mandate-agreement-trent-university,https://www.trentu.ca/oipa/accountability,Not Posted,"Sunday November 29, 2020"
Université de Hearst,https://www.ontario.ca/page/2020-2025-strategic-mandate-agreement-universite-de-hearst,http://www.uhearst.ca/plan-strategique,Not Posted,"Sunday November 29, 2020"
University of Guelph,https://www.ontario.ca/page/2020-2025-strategic-mandate-agreement-university-guelph,https://irp.uoguelph.ca/accountability/strategic-mandate-agreement,Not Posted,"Sunday November 29, 2020"
University of Ottawa,https://www.ontario.ca/page/2020-2025-strategic-mandate-agreement-university-ottawa,https://www.uottawa.ca/institutional-research-planning/accountability,Link to MCU,"Sunday November 29, 2020"
University of Toronto,https://www.ontario.ca/page/2020-2025-strategic-mandate-agreement-university-toronto,https://www.utoronto.ca/sites/default/files/Toronto%20-%20SMA3%20Agreement%20-%20August%2031%2C%202020%20SIGNED%20FINAL_0.pdf,Posted,"Sunday November 29, 2020"
University of Waterloo,https://www.ontario.ca/page/2020-2025-strategic-mandate-agreement-university-waterloo,https://uwaterloo.ca/institutional-analysis-planning/sites/ca.institutional-analysis-planning/files/uploads/files/waterloo_-_sma3_agreement_-_final_posted.pdf,Posted,"Sunday November 29, 2020"
University of Windsor,https://www.ontario.ca/page/2020-2025-strategic-mandate-agreement-university-windsor,https://www.uwindsor.ca/president/sites/uwindsor.ca.president/files/university_of_windsor_-_sma3_agreement_-_august_31_2020.pdf,Posted,"Sunday November 29, 2020"
Western University,https://www.ontario.ca/page/2020-2025-strategic-mandate-agreement-western-university,http://www.ipb.uwo.ca/strategic_mandate_agreements.php,Link to MCU,"Sunday November 29, 2020"
Wilfrid Laurier University,https://www.ontario.ca/page/2020-2025-strategic-mandate-agreement-wilfrid-laurier-university,https://www.wlu.ca/about/public-accountability/index.html,Not Posted,"Sunday November 29, 2020"
York University,https://www.ontario.ca/page/2020-2025-strategic-mandate-agreement-york-university,https://oipa.info.yorku.ca/accountability/,Link to MCU,"Sunday November 29, 2020"
